product_ID,product_name,category,price,units_in_stock,units_sold,discontinued_date
1,Mechanical Keyboard,Electronics,89.99,50,120,
2,Wireless Mouse,Electronics,25.50,120,300,
3,USB-C Hub,Accessories,45.00,80,150,
4,LED Desk Lamp,Home Office,35.00,40,90,
5,Noise Canceling Headphones,Electronics,199.99,30,60,
6,Ergonomic Chair,Furniture,250.00,15,45,
7,Laptop Stand,Accessories,29.99,60,200,
8,Webcam 1080p,Electronics,65.00,25,80,
9,Gaming Mouse Pad,Accessories,15.99,100,500,
10,Monitor Arm,Furniture,55.00,20,35,
11,Bluetooth Speaker,Electronics,49.99,45,110,
12,External SSD 1TB,Electronics,129.00,35,95,
13,Privacy Screen Filter,Accessories,39.99,50,70,
14,Desk Organizer,Office Supplies,19.99,90,140,
15,USB-C Cable,Accessories,12.50,200,800,
16,Laptop Sleeve,Accessories,22.00,70,130,
17,Gaming Chair,Furniture,320.00,10,25,
18,Microphone Arm,Accessories,40.00,25,60,
19,Ring Light,Electronics,30.00,40,85,
20,Laptop Cooling Pad,Electronics,35.00,55,105,
21,Old Model Mouse,Electronics,15.00,0,500,2025-01-15
22,Mechanical Pencil Set,Office Supplies,8.99,150,400,
23,Notebook A5,Office Supplies,5.50,300,1200,
24,Portable Power Bank,Electronics,45.00,40,150,
25,HDMI Cable 6ft,Accessories,10.00,150,400,
26,Wireless Charger,Electronics,28.00,60,180,
27,Smart Watch,Electronics,249.00,20,50,
28,Headset Stand,Accessories,18.00,80,120,
29,Cable Management Box,Accessories,22.00,50,90,
30,Tablet Stand,Accessories,25.00,40,75,
31,Basic Wired Keyboard,Electronics,20.00,0,1000,2024-12-01
32,Fountain Pen,Office Supplies,45.00,15,30,
33,Desk Mat,Accessories,28.00,65,140,
34,Monitor Cleaning Kit,Accessories,12.00,100,200,
35,Laptop Docking Station,Electronics,180.00,15,40,
36,VR Headset,Electronics,499.00,5,15,
37,Graphics Tablet,Electronics,350.00,8,20,
38,External Hard Drive 2TB,Electronics,85.00,30,60,
39,USB Flash Drive 64GB,Electronics,15.00,120,350,
40,Legacy Printer,Electronics,150.00,0,200,2023-06-30